date,day_of_week,page_image,bank_rate,bank_rate_d1,bank_rate_model,bank_rate_model_mismatch,banking_total_assets_m,banking_reserve_notes_coin_m,issue_notes_total_m,issue_bullion_total_m,reserve_proportion,confidence,notes,data_source,validation_basis
1890-12-08,Monday,C1-38_072,5.0,5.0,5,False,54.991,17.548,40.997,24.547,47.1,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-09,Tuesday,C1-38_072,5.0,5.0,5,False,54.466,17.025,40.471,24.021,46.3,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-10,Wednesday,C1-38_073,5.0,5.0,5,False,54.521,17.007,40.176,23.726,46.2,medium,Operations columns start Thursday; no operations data for Wednesday 10.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-11,Thursday,C1-38_073,5.0,5.0,5,False,54.709,17.125,40.226,23.776,46.3,medium,"Operations 'On L' discount=1, 'On C'=54; advances B=422, S=326, C=135.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-12,Friday,C1-38_073,5.0,5.0,5,False,54.644,16.968,40.369,23.919,46.0,medium,Clearing house figure '21029' read as 5-digit; could be 21029.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-13,Saturday,C1-38_073,5.0,5.0,5,False,54.656,17.022,40.257,23.777,46.1,low,Public deposits Exchequer hard to read; banking_public_deposits taken from Exchequer row.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-15,Monday,C1-38_073,5.0,5.0,5,False,55.344,17.023,40.139,23.689,45.3,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-16,Tuesday,C1-38_073,5.0,5.0,5,False,55.548,17.215,40.309,23.859,45.5,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-17,Wednesday,C1-38_074,5.0,5.0,5,False,55.507,16.763,39.859,23.409,44.4,medium,Wednesday 17 Dec is on Balances side only; Operations columns start Thursday 18.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-18,Thursday,C1-38_074,5.0,5.0,5,False,55.296,16.541,39.774,23.354,44.1,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-19,Friday,C1-38_074,5.0,5.0,5,False,54.869,16.03,39.674,23.225,43.2,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-20,Saturday,C1-38_074,5.0,5.0,5,False,54.595,16.147,39.558,23.108,43.8,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-22,Monday,C1-38_074,5.0,5.0,5,False,54.426,15.877,39.585,23.135,43.5,low,ops_total_advances unclear; may be 98 or other.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-23,Tuesday,C1-38_074,5.0,5.0,5,False,54.072,15.402,39.369,22.919,42.4,low,ops_total_advances reading uncertain.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-24,Wednesday,C1-38_075,5.0,5.0,5,False,53.636,14.895,39.099,22.849,41.8,medium,"Exchequer 3392; Other Public Deposits 1066; Council of India 623; Supreme Court 288; Bankers 12926; Audit Roll 54; Capital & Rest 17801; Deposits Total 35674; Discounts London 2563, Country 2508; Advances London 9634, Country 2752; Unproductive Securities 723; Securities Total 38741; Notes 14206; Gold Coin 487; Silver Coin 202; Total Bullion 23388; London Silver 82",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-25,Thursday,C1-38_075,5.0,5.0,5,False,,,,,,high,Christmas Day - no entries,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-26,Friday,C1-38_075,5.0,5.0,5,False,,,,,,high,Bank Holiday - no entries,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-27,Saturday,C1-38_075,5.0,5.0,5,False,53.51,15.161,38.99,22.54,42.4,medium,"Exchequer 3498; Other Public Deposits 1291; Council of India 536; Supreme Court 290; Bankers 12147; Audit Roll 53; Capital & Rest 17801; Deposits Total 35559; Discounts Country 2446; Advances London 9363, Country 3850/2753; Unproductive Securities 589; Securities Total 38349; Notes 14456; Gold Coin 511; Silver Coin 194; Total Bullion 23245; London Silver 73",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-29,Monday,C1-38_075,5.0,5.0,5,False,55.188,15.323,39.254,22.804,40.9,medium,"Exchequer 3328; Other Public Deposits 1339; Council of India 545; Supreme Court 322; Bankers 13118; Audit Roll 53; Capital & Rest 17801; Deposits Total 37232; Discounts London 2243; Country 2469; Advances London 11186, Country 4125; Unproductive Securities 589; Securities Total 39865; Notes 14536; Gold Coin 565; Silver Coin 222; Total Bullion 23591; London Silver 62",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-30,Tuesday,C1-38_075,5.0,5.0,5,False,56.638,15.127,39.205,22.755,38.9,medium,"Exchequer 3195; Other Public Deposits 1360; Council of India 3838; Supreme Court 320; Bankers 14171; Audit Roll 50; Capital & Rest 17801; Deposits Total 38687; Discounts London 2336, Country 2497; Advances London 12669, Country 4125/2829; Unproductive Securities 594; Securities Total 41511; Notes 14308; Gold Coin 603; Silver Coin 216; Total Bullion 23574; London Silver 69",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-31,Wednesday,C1-38_076,5.0,5.0,5,False,57.787,14.802,39.193,22.743,37.0,medium,"Only the Wednesday column is filled in. Public deposits broken out: Exchequer 2028, Other Public Deposits 2446, Council of India 2000, Supreme Court 303; Bankers 15283, Other Private Deposits 17708. Deposits Total 39815. Capital & Rest 17794 (read as '717794' but likely 17794). Treasury Bills 181. Discounts London 2313, Country 2562. Advances London 13885 (with red correction 4125), Country 3109 (red +400). Unproductive Securities 590. Securities Total 42985. Cash in Notes 14079, Gold Coin 511, Silver Coin 212. Total Bullion variation +128, value 23466. London Silver Available 67. Many handwritten variation figures in left margin not transcribed.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
