page_image,date_range_visible,date,day_of_week,banking_public_deposits,banking_other_deposits,banking_seven_day_bills,banking_govt_securities,banking_other_securities,banking_discounts,banking_advances,banking_reserve_notes_coin,banking_total_assets,reserve_proportion,issue_notes_total,issue_bullion_total,issue_govt_securities,issue_other_securities,ops_london_discounts,ops_country_discounts,ops_total_discounts,ops_london_advances,ops_country_advances,ops_total_advances,clearing_house_total,minimum_discount_rate,confidence,notes,balances_columns_count,operations_columns_count,page_notes
C1-38_064,1890-10-08 to 1890-10-14,1890-10-13,Monday,,,25.0,13999.0,10718.0,2106.0,5432.0,10995.0,50892.0,32.5,35050.0,18600.0,,,1.0,18.0,19.0,142.0,163.0,398.0,26566.0,5,medium,,6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15)."
C1-38_064,1890-10-08 to 1890-10-14,1890-10-14,Tuesday,,,25.0,13999.0,10718.0,2228.0,5154.0,10990.0,51064.0,32.9,35276.0,18826.0,,,142.0,58.0,200.0,187.0,134.0,584.0,22382.0,5,medium,,6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15)."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-15,Wednesday,,16756.0,248.0,13999.0,10718.0,,,11194.0,51533.0,33.5,35324.0,18874.0,,,,,,,,,,5,medium,"Wednesday only appears on Balances side, not Operations. Public deposits broken into sub-rows; not summing.",6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-16,Thursday,,16397.0,25.0,13999.0,10718.0,,,11280.0,51438.0,33.4,35283.0,18833.0,,,4.0,41.0,45.0,200.0,77.0,311.0,19431.0,5,medium,Advances total 311 may include B/S/C sub-components.,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-17,Friday,,16261.0,25.0,13999.0,10716.0,,,11041.0,50977.0,33.1,35208.0,18758.0,,,25.0,61.0,86.0,103.0,103.0,618.0,21994.0,5,medium,,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-18,Saturday,,16029.0,25.0,13999.0,10714.0,,,11182.0,50533.0,34.0,35104.0,18654.0,,,,6.0,6.0,5.0,17.0,21.0,25743.0,5,medium,London discounts cell appears blank.,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-20,Monday,,16082.0,25.0,13999.0,10714.0,,,11280.0,50353.0,34.5,35126.0,18676.0,,,14.0,21.0,35.0,97.0,89.0,137.0,22653.0,5,medium,,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-21,Tuesday,,16466.0,25.0,13999.0,10714.0,,,11354.0,50802.0,34.3,35069.0,18619.0,,,279.0,22.0,301.0,366.0,31.0,160.0,19696.0,5,medium,Advances total 160 may not match sub-rows; possibly partial.,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_065,1890-10-15 to 1890-10-21 (Balances); 1890-10-16 to 1890-10-22 (Operations),1890-10-22,Wednesday,,,,,,,,,,,,,,,6.0,30.0,36.0,53.0,61.0,89.0,19512.0,5,medium,Wednesday 22 appears only on Operations side.,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed."
C1-38_066,1890-10-22 to 1890-10-28,1890-10-22,Wednesday,,16448.0,211.0,13999.0,10714.0,2117.0,5073.0,11519.0,50672.0,34.9,35102.0,18652.0,,,,,,,,,,5,medium,"Wednesday is balance-only; operations columns start Thursday. Public Deposits row not clearly read (Exchequer 1056, Other Public 1438, Council 563, Supreme 327, Bankers 12856).",6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%."
C1-38_066,1890-10-22 to 1890-10-28,1890-10-23,Thursday,,16758.0,2.0,13999.0,10714.0,2082.0,5066.0,11545.0,50402.0,35.3,35097.0,18647.0,,,3.0,10.0,13.0,90.0,212.0,302.0,18880.0,5,medium,Public deposits sub-rows visible but composite not summed here.,6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%."
C1-38_066,1890-10-22 to 1890-10-28,1890-10-24,Friday,,17458.0,2.0,13999.0,10744.0,2010.0,5035.0,11324.0,50235.0,34.8,35063.0,18613.0,,,8.0,145.0,153.0,27.0,64.0,91.0,20227.0,5,medium,,6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%."
C1-38_066,1890-10-22 to 1890-10-28,1890-10-25,Saturday,,16794.0,2.0,13999.0,10594.0,1985.0,5163.0,11527.0,50199.0,35.4,35068.0,18618.0,,,1.0,20.0,21.0,134.0,56.0,194.0,18840.0,5,medium,,6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%."
C1-38_066,1890-10-22 to 1890-10-28,1890-10-27,Monday,,17024.0,2.0,13999.0,10594.0,1977.0,5242.0,11461.0,50304.0,35.1,35115.0,18665.0,,,12.0,8.0,20.0,68.0,34.0,202.0,21065.0,5,low,ops_total_advances reading unclear,6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%."
C1-38_066,1890-10-22 to 1890-10-28,1890-10-28,Tuesday,,16929.0,2.0,13999.0,10594.0,1973.0,5214.0,11443.0,50267.0,35.1,35099.0,18629.0,,,,22.0,22.0,75.0,50.0,125.0,20038.0,5,medium,London discount cell appears blank,6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%."
C1-38_067,1890-10-29 to 1890-11-04 (Balances); 1890-10-30 to 1890-11-05 (Operations),1890-10-29,Wednesday,1116.0,11755.0,233.0,13999.0,10594.0,1981.0,5279.0,11603.0,50553.0,35.3,35207.0,18757.0,,,,,,,,,,5,medium,Wednesday is the prior-week column on operations side; ops fields begin Thursday.,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'."
C1-38_067,1890-10-29 to 1890-11-04 (Balances); 1890-10-30 to 1890-11-05 (Operations),1890-10-30,Thursday,1106.0,11364.0,225.0,13999.0,10594.0,1905.0,5288.0,11339.0,50298.0,34.7,35146.0,18696.0,,,,46.0,46.0,187.0,597.0,784.0,23561.0,5,medium,London discounts column blank for this day,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'."
C1-38_067,1890-10-29 to 1890-11-04 (Balances); 1890-10-30 to 1890-11-05 (Operations),1890-10-31,Friday,865.0,11142.0,225.0,13999.0,10583.0,1910.0,5525.0,11195.0,50516.0,34.1,35185.0,18735.0,,,25.0,47.0,72.0,398.0,182.0,580.0,24160.0,5,medium,,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'."
C1-38_067,1890-10-29 to 1890-11-04 (Balances); 1890-10-30 to 1890-11-05 (Operations),1890-11-01,Saturday,832.0,11494.0,225.0,13999.0,10582.0,1973.0,5739.0,11169.0,49920.0,34.7,35051.0,18601.0,,,81.0,21.0,102.0,445.0,29.0,474.0,23714.0,5,medium,,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'."
C1-38_067,1890-10-29 to 1890-11-04 (Balances); 1890-10-30 to 1890-11-05 (Operations),1890-11-03,Monday,888.0,11764.0,225.0,13999.0,10582.0,1977.0,5702.0,11181.0,49868.0,34.7,35062.0,18612.0,,,26.0,3.0,29.0,98.0,49.0,171.0,23794.0,5,medium,,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'."
C1-38_067,1890-10-29 to 1890-11-04 (Balances); 1890-10-30 to 1890-11-05 (Operations),1890-11-04,Tuesday,934.0,12394.0,225.0,13999.0,10582.0,2018.0,5706.0,11142.0,49866.0,34.6,34989.0,18539.0,,,89.0,64.0,153.0,71.0,22.0,93.0,21794.0,5,medium,,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'."
C1-38_068,1890-11-05 to 1890-11-12,1890-11-05,Wednesday,,16652.0,259.0,13999.0,10561.0,,,11206.0,49832.0,34.9,35026.0,18576.0,,,,,,,,,,5,medium,Wednesday is balances-only column; operations columns begin Thursday 6th. Public deposits row split into Exchequer/Other/Council/Supreme Court — not aggregated.,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
C1-38_068,1890-11-05 to 1890-11-12,1890-11-06,Thursday,,16694.0,25.0,13999.0,10561.0,,,11205.0,49908.0,34.8,34867.0,18417.0,,,48.0,33.0,81.0,31.0,146.0,137.0,21258.0,5,medium,ops_total_advances reads 137 (sum row 'Advances total').,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
C1-38_068,1890-11-05 to 1890-11-12,1890-11-07,Friday,,16737.0,25.0,13999.0,10561.0,,,10551.0,49013.0,33.7,34330.0,17880.0,,,24.0,53.0,77.0,60.0,80.0,368.0,22003.0,5,medium,,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov."
