canonical_counterparty,ai_counterparty_type,rule_based_type,confidence,classification_reason,evidence_terms,manual_review_required
Arluthrot Ewart & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Arthur & Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Ashby Morris Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Ashton & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Atfu Heseundes & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Aug: Wehmer,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Aviesim & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
B Elkin & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
B Halberth & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
B L Lomant,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
B S & J Phillips & Co,unknown,merchant,0.0,no rule matched,[],True
B Salomons & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
B Simon & A Jacoby,unknown,other,0.0,no rule matched,[],True
B T Laveo & Co,unknown,merchant,0.0,no rule matched,[],True
B. C. T. Gray & Son,unknown,other,0.0,no rule matched,[],True
B. De Castro & Co,unknown,merchant,0.0,no rule matched,[],True
B. Jubini & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
B. Tucker & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
B. W .Blydenstein & Co,unknown,merchant,0.0,no rule matched,[],True
"Bagallay, Westall & Spence",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bailey & Co To Afe Of Bailey,unknown,merchant,0.0,no rule matched,[],True
Bailey Pegg & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Baker Duncombe & Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Balls Garrett,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Baltazzi Sons & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Banca Commerciale Italiana,commercial_bank,other,0.5,matched rules: commercial_bank,"[""commercial""]",False
Banca De Espana,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bandier Tobias & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Banffo & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bank Of Australasia,commercial_bank,commercial_bank,0.7,matched rules: commercial_bank,"[""Bank of \u2026""]",False
Bank Of British West Africa Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""Bank of \u2026"", ""joint-stock company suffix""]",False
Bank Of Hindustan Limited,commercial_bank,commercial_bank,0.95,curated match: Bank of Hindustan — Anglo-Indian,"[""bank of hindustan""]",False
Bank Of Ireland,commercial_bank,commercial_bank,0.7,matched rules: commercial_bank,"[""Bank of \u2026""]",False
Bank Of London Limited,commercial_bank,commercial_bank,0.95,curated match: Bank of London Limited,"[""bank of london""]",False
Bank Of Madras,commercial_bank,commercial_bank,0.95,curated match: Bank of Madras — colonial presidency bank,"[""bank of madras""]",False
Bank Of Montreal,commercial_bank,commercial_bank,0.7,matched rules: commercial_bank,"[""Bank of \u2026""]",False
Bank Of New South Wales,commercial_bank,commercial_bank,0.7,matched rules: commercial_bank,"[""Bank of \u2026""]",False
Bank Of Scotland,commercial_bank,commercial_bank,0.7,matched rules: commercial_bank,"[""Bank of \u2026""]",False
Banque Belge,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Barclay & Co Ltd,commercial_bank,merchant,0.95,curated match: Barclay & Co — joint-stock bank (incorporated 1896),"[""barclay""]",False
Bardburg & Cook,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bardgett & Picard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Barff & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Baring Brothers & Co,merchant_bank,merchant_bank,0.95,curated match: Baring Brothers & Co — merchant bank (the firm rescued in 1890),"[""baring""]",False
"Barker, Benwell & Co.",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Barnard & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Barnett & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,unknown,commercial_bank,0.0,no rule matched,[],True
Barry & Nephews,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bateman & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Battley & Butler,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Bauley, Pegg & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bautcher Baltimore,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Bayliss, Jones & Bayliss",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bco & Del Rio De La Hala,unknown,merchant,0.0,no rule matched,[],True
Beaudsell & Jackson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Beauvaisen + Leannard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bedell Prior & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Beith Stevenson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Beiy Riley,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bell & Grant,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bennison & Lennard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bennison Lermard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Bennoch, Twentyman & Rigg",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Benoliel Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Beo Befand Del Rio Co,unknown,other,0.0,no rule matched,[],True
Bernard Elliot,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Beverington Norris,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bevington & Morris,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bevingtons & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bheonutt Booper & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bhimsey Sewjee & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bicken & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Bidgood, Jones & Wilson",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bidgorddons & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bieber & Co.,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bier & Partner,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bischoffsheim & Goldschmidt,merchant_bank,merchant_bank,0.95,curated match: Bischoffsheim & Goldschmidt — Anglo-German merchant bank,"[""bischoffsheim""]",False
Bl Leman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Blogg & Martin,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Blogg Vellantini,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Blyth Greene Jourdain Co Ld,unknown,merchant,0.0,no rule matched,[],True
Bomanjee Framjee Cama & Co,unknown,merchant,0.0,no rule matched,[],True
Bordier Fabris & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Borneo Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Borrowman Phillipps & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Boutcher Mortimore & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bowes Game & Moren,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Boysin Hoyer Tagart,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bradbury & Cook,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bradbury Greatorex & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Bridgewater Jones & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Brien & Parker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Brightwen Gillet & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
British Bank Of Foreign Trade Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate, merchant_trading_firm","[""Bank Limited"", ""Bank of \u2026"", ""joint-stock company suffix"", ""trading""]",False
British Bank Of North America Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""Bank of \u2026"", ""joint-stock company suffix""]",False
British Honduras Coy Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Britsh Linen Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Broadwood & Barclay,commercial_bank,other,0.95,curated match: Barclay & Co — joint-stock bank (incorporated 1896),"[""barclay""]",False
Brockelbank & Rolt,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Brown & Laws,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Brown Davis & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Brown Shipley & Co,merchant_bank,merchant,0.95,"curated match: Brown, Shipley & Co — Anglo-American merchant bank","[""brown shipley""]",False
Browning Wood & Fox,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bruce Wilkinson & Co,bill_broker,merchant,0.95,"curated match: Bruce, Wilkinson & Co — bill brokers","[""bruce wilkinson""]",False
Buckler Woolbright,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Bucknell & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Burr Brother & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Butterworth & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Byass & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Byfield & Richards,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C & S Grimmrade,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C A Jonas & Co,unknown,merchant,0.0,no rule matched,[],True
C C Williams,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C David & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
C E Fireman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C Faintling,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C Fauntleroy,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C H Olivier,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C Henry,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C I Hambro & Son,merchant_bank,other,0.95,curated match: C. J. Hambro & Son — Anglo-Danish merchant bank,"[""hambro""]",False
C Jamtterey,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C Leary & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
C Sutherland & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
C Tauntlory,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C Tottie & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C Walton & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C. & C. I. Coles,unknown,other,0.0,no rule matched,[],True
C. Bailey,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C. Candy & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
C. E. Heinke,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C. H. Noble,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
C. Lloyd & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Calchesters & Woolman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Caldecott, Sons & Willcocks",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cama & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Canadian Bank Of Commerce,commercial_bank,commercial_bank,0.75,matched rules: commercial_bank,"[""Bank of \u2026"", ""commercial""]",False
Capital & Counties Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Carlthian & Corbierie,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Carneille David & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Carr & Hoare,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Carvalho Brother & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Cash + Ledgard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Castelli Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Cater Greenwell & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Cavan Brothers & Co,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Cha Heinery,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Chaffey & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Charles & Fox,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Charles & Jof,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Charles Hemery,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Charles Hoare Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Charles Rayne,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Chartered Bank Of India, Austrailia & China",commercial_bank,commercial_bank,0.95,"curated match: Chartered Bank of India, Australia & China","[""chartered bank""]",False
Chartered Merchant Bank Of India Limited,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate, merchant_trading_firm","[""Bank Limited"", ""Bank of \u2026"", ""joint-stock company suffix"", ""merchants""]",False
Chas Belier,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Chas Watton & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Chesnutt Cooper Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Child & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Chilian Gout,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Church Son & Stubbs,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Churchill & Sim,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cj Hamlin & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cj Howell & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Clairmonte Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Clawfow Coloui & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Clement Dresser,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Clode & Baker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Closley Vepher & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Clydesdale Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Cocker Biddulph & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Colchesters & Woolner,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cole Nichols & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Colonial Company Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Commercial Bank Of Scotland Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""Bank of \u2026"", ""commercial"", ""joint-stock company suffix""]",False
Commercial Banking Co. Of Of Sydney Ltd,commercial_bank,commercial_bank,0.55,"matched rules: commercial_bank, industrial_or_corporate","[""commercial"", ""joint-stock company suffix""]",True
Commonwealth Bk Of Australia,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Comptoir National D'Escompte De Paris,unknown,other,0.0,no rule matched,[],True
Consolidated Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Consolidated Discount Co Limited,discount_house,discount_house,0.9,"matched rules: discount_house, industrial_or_corporate","[""discount house"", ""joint-stock company suffix""]",False
Conway Phelps & Hayward,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cook Sons & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Copestake Moore, Crampton & Co",unknown,merchant,0.0,no rule matched,[],True
Cotesworth & Powell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Coulon & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Coutts & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Coventry Sheppard & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Cox Heisch & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Crawshay Bailey,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Credit Lyonnais Per Glyn Mills Currie,merchant_bank,other,0.95,"curated match: Glyn, Mills & Co — private bank operating in the City","[""glyn mills""]",False
Credito Italiano,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cripps & Starkey,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Crocker, Sons & Turner",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Crowe Christian & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Crowns Agents For Colonies,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Crowsley Bailey,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cuadra Romero,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Culverwell Brooks Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Cunliffe Bros,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Cunliffes & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Curteis Whitworth & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Cutler & Barker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
D & T J Warren,unknown,other,0.0,no rule matched,[],True
D Drakeford & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
D H Bushell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
D Lloyd,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
D T Morgan,merchant_bank,merchant_bank,0.95,"curated match: J. P. Morgan / Morgan, Grenfell — Anglo-American merchant bank","[""morgan""]",False
D Taylor & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
D. D. Cama & Co,unknown,merchant,0.0,no rule matched,[],True
D. E. Power,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
D.Sasson Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Da Costa & Kiell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Dadabhai Naoroji & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Dae La Rue Thomas, & Co",unknown,merchant,0.0,no rule matched,[],True
Daniel Hawkins,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Daniell Cafenove & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Daniell Dickinson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Darent & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Davey, Thompson & Alder",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
David Evans & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
David Kidd & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
David Lloyd & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
David Sasson & Co Ld,unknown,merchant,0.0,no rule matched,[],True
David Taylor & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Dawson Campbell & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Dawson Worth,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
De Jersey & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Delhi & London Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
"Dennistoun, Cross & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Deutsche Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Dimsdale & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Dinsdale Drewell & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Direction Der Discounts,individual_or_partnership,discount_house,0.55,"short bare name, no firm suffix",[],True
Discount Corporation Limited,discount_house,discount_house,0.95,curated match: Discount Corporation Limited,"[""discount corporation""]",False
Do,unknown,other,0.0,no rule matched,[],True
Dominion Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Donaldson Lambert & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Drake, Kleinwort & Cohen",merchant_bank,merchant_bank,0.95,curated match: Kleinwort Sons & Co — merchant bank,"[""kleinwort""]",False
Draper Pietroni & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Dresdner Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
